Date,Time,TimePoint,Experiment,Group,Well,ROS_Mean_TECAN,ROS_sd_TECAN,DCF_ROS_mean,Beta_catenin_mean,Time_BetaCat,Date_BetaCat
2021-12-17,13:13:47,0,2,stim,A2,0.029041137144842,0.005653498412038,5.80573975694234,10.9850338943646,09:38:56,2021-12-22
2021-12-17,13:13:47,0,2,stim,A3,0.019662356064822,0.00481078892422,5.24139071763639,12.494110642762,09:41:10,2021-12-22
2021-12-17,18:23:47,8,2,stim,A1,0.126963539414901,0.013285106415798,1.60746994628465,17.4891850811437,10:34:22,2021-12-22
2021-12-18,18:23:47,8,2,stim,A2,0.156024389721741,0.016005987722041,1.5595365977444,20.6873982371439,10:36:31,2021-12-22
2021-12-19,18:23:47,8,2,stim,A3,0.137727787957643,0.014804967125273,1.10317151989634,34.5292925465273,10:38:55,2021-12-22
2021-12-19,19:06:05,24,2,control,B1,0.078073891885376,0.009603613547686,2.33848036518609,18.305733074403,10:42:10,2021-12-22
2021-12-19,19:06:05,24,2,control,B2,0.072970481838819,0.009134206464263,2.73094069480908,14.2452567886212,10:44:16,2021-12-22
2021-12-19,19:06:05,24,2,control,B3,0.074567937633992,0.011397955863585,3.42026921255264,12.4491430677221,10:46:08,2021-12-22
2021-12-19,19:06:05,24,2,stim,A1,0.137845032419674,0.014635658198105,3.0598580397809,16.1661028730135,10:50:26,2021-12-22
2021-12-19,19:06:05,24,2,stim,A2,0.148458242508388,0.012919028603156,1.20123329873616,34.0857247393966,10:57:42,2021-12-22
2021-12-19,19:06:05,24,2,stim,A3,0.12756200342624,0.012290267863462,3.82516212329737,14.4631646226532,11:00:07,2021-12-22
2021-12-20,18:23:47,8,2,control,B1,0.060030773797644,0.008199036530391,1.24394389626259,23.3759953994136,10:23:25,2021-12-22
2021-12-21,18:23:47,8,2,control,B2,0.066976387453866,0.008777389114306,1.97738548619723,13.7786468653197,10:29:44,2021-12-22
2021-12-22,18:23:47,8,2,control,B3,0.063686617047546,0.011106730880289,1.1801077466444,26.515969249881,10:31:27,2021-12-22
2022-01-10,11:14:06,0,3,control,B1,0.040355141521681,0.006653036549925,21.3937439918427,6.20704724991276,14:09:57,2022-01-24
2022-01-10,11:14:06,0,3,control,B2,0.039312441692073,0.006399364094344,20.4999205350189,1.66923378169323,14:12:47,2022-01-24
2022-01-10,11:14:06,0,3,control,B3,0.041998201964218,0.007212492885924,21.2049931642365,11.7274125452392,14:18:40,2022-01-24
2022-01-10,11:14:06,0,3,stim,A1,0.040355141521681,0.006653036549925,21.3937439918427,6.20704724991276,14:09:57,2022-01-24
2022-01-10,11:14:06,0,3,stim,A2,0.039312441692073,0.006399364094344,20.4999205350189,1.66923378169323,14:12:47,2022-01-24
