TimePoint,Experiment,Group,Date,Time,Mode,Multiple Reads per Well (Circle (filled)),Multiple Reads per Well (Border),Excitation Wavelength,Emission Wavelength,Excitation Bandwidth,Emission Bandwidth,Gain,Number of Flashes,Integration Time,Lag Time,Settle Time,Well,Mean,StDev,5;14,6;14,7;14,8;14,9;14,11;13,10;13,9;13,8;13,7;13,6;13,5;13,4;13,3;13,2;12,3;12,4;12,5;12,6;12,7;12,8;12,9;12,10;12,11;12,12;12,13;11,12;11,11;11,10;11,9;11,8;11,7;11,6;11,5;11,4;11,3;11,2;11,1;11,1;10,2;10,3;10,4;10,5;10,6;10,7;10,8;10,9;10,10;10,11;10,12;10,13;10,14;9,13;9,12;9,11;9,10;9,9;9,8;9,7;9,6;9,5;9,4;9,3;9,2;9,1;9,0;9,0;8,1;8,2;8,3;8,4;8,5;8,6;8,7;8,8;8,9;8,10;8,11;8,12;8,13;8,14;8,14;7,13;7,12;7,11;7,10;7,9;7,8;7,7;7,6;7,5;7,4;7,3;7,2;7,1;7,0;7,0;6,1;6,2;6,3;6,4;6,5;6,6;6,7;6,8;6,9;6,10;6,11;6,12;6,13;6,14;6,14;5,13;5,12;5,11;5,10;5,9;5,8;5,7;5,6;5,5;5,4;5,3;5,2;5,1;5,0;5,1;4,2;4,3;4,4;4,5;4,6;4,7;4,8;4,9;4,10;4,11;4,12;4,13;4,13;3,12;3,11;3,10;3,9;3,8;3,7;3,6;3,5;3,4;3,3;3,2;3,1;3,2;2,3;2,4;2,5;2,6;2,7;2,8;2,9;2,10;2,11;2,12;2,11;1,10;1,9;1,8;1,7;1,6;1,5;1,4;1,3;1,5;0,6;0,7;0,8;0,9;0
4h,1,stim,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,16418,1493,10160,12126,23114,16602,14266,18113,15205,13910,14624,17102,16708,15814,15112,16811,15946,14771,17938,15513,16271,17222,17163,15519,16741,16019,15473,16013,15023,16680,15369,15781,16394,15797,14807,15018,16189,15390,15377,15915,15867,16663,18151,16853,17149,17260,16371,15090,15193,16680,15949,15566,15115,16834,13032,16510,17503,17614,17446,17407,15773,15065,15537,14728,15109,15673,15605,16004,17406,15840,18518,18384,18568,17948,17360,16804,16603,14457,14966,15930,16374,15811,15422,16671,15283,17628,18682,19239,18128,16895,15000,14605,14581,13907,14874,15869,15763,16150,18075,14936,18489,19639,18822,17889,17330,17631,16626,13441,14309,15979,16394,16044,15744,17987,14497,17140,19614,18838,17518,17251,16993,16257,15236,15033,15726,16071,15628,15910,17792,15357,18510,19053,18456,15734,16176,15980,15699,16351,16836,16873,15895,18163,14251,16435,18776,17679,16104,16560,16759,15837,15533,15936,16612,16337,17941,15270,16971,18619,18360,16381,17277,17838,17069,15811,16160,17933,14148,15964,18510,17408,15774,16343,17559,17034,17946,15042,17775,17519,17154
4h,1,stim,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,17015,1417,12376,16731,16367,12837,16950,16184,11960,17698,18159,16322,16737,16851,16258,16570,16649,15511,17801,15803,16976,18131,16907,15919,17237,17145,16168,16883,15205,17019,15744,16555,17527,16668,15795,16013,17059,16474,16050,16314,17505,16951,18921,17335,17691,17648,16631,15402,16071,17212,16489,15997,16264,17674,13199,17490,18652,18934,18132,18242,16461,15958,16263,15575,15945,16315,16376,16529,17437,17029,19212,19012,19004,19217,18238,17407,17034,14968,14997,15617,16563,16643,16216,18119,15272,18715,19433,19853,18619,17681,16272,15628,14776,14161,15670,16515,16392,16460,18725,15567,19189,20478,19546,18253,18096,18045,17059,14757,15192,16521,16873,17288,16486,17969,15148,18152,19821,19526,18387,17869,17736,16831,15376,15551,16035,16269,16605,16715,19156,15990,19118,19727,19183,16610,16616,16348,15879,16969,17327,17370,16626,18463,14727,17233,19497,18764,16709,17052,17263,16424,16105,15996,16897,17009,18734,15974,17579,19170,18376,16706,17807,18400,17753,16614,17079,18764,14907,16851,19471,18133,16402,17021,18018,17141,18334,15381,18213,18154,18043
4h,1,stim,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,13447,1262,8121,15870,14688,9349,12875,13264,9332,14389,12930,12803,12713,13882,12297,13564,12659,12463,14405,12203,13329,14172,13757,12441,13565,13212,13128,13093,12060,14075,12465,13404,13198,13857,12253,12674,12788,12909,12761,12884,13724,13271,15117,13288,13901,13638,13560,11577,12583,13003,13338,13054,13018,13694,10639,13361,14105,15248,14034,14801,12602,12336,11888,12461,12325,12989,12692,13589,14087,12649,15880,14813,15197,14436,15002,13247,13932,11244,12104,12650,12956,13236,13144,14322,12184,15306,15048,15925,14579,14279,12432,12713,11051,11412,12257,12823,13196,12938,14420,12322,15306,15872,15608,14212,14434,13757,13424,11146,12144,12648,13494,13188,13121,14874,11803,14373,16181,15921,14208,14283,13418,13318,11936,12233,12898,13190,13125,13296,14984,12776,15529,14609,15768,12739,13603,12129,12948,13137,13946,12996,13620,14674,11815,13651,15191,14707,13289,13444,13334,13337,12640,13324,13333,13578,15068,12076,14408,15585,14848,12676,13942,14083,14701,13185,13385,15550,12075,13356,15101,14926,12744,13779,14119,13979,14601,12225,14461,14598,14750
4h,1,control,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B1,10528,994,3806,8905,10257,8560,10334,9873,9382,10832,10444,9638,10893,10730,9970,10342,9805,10384,10976,9850,10670,10913,10668,9962,10806,10418,10283,10230,9814,10946,9831,10199,10672,10152,9720,9952,10570,10067,9672,10134,10860,10726,11888,10924,11029,10715,10523,9614,10046,10649,10145,10098,10029,10439,8370,10606,11429,11751,11367,11537,10409,9948,9872,9528,10117,10077,9876,9861,11369,10432,12235,12109,11692,11556,11384,10802,10336,8887,9817,9983,10267,10289,9874,11069,9591,11263,12011,12226,11634,11115,10433,9891,9362,8741,9679,10163,9955,9894,11267,10038,12000,12712,12234,11699,11172,11028,10012,8496,9494,10149,10832,10394,10157,11498,9080,11261,12569,12176,11153,11393,11231,10546,9910,9287,9982,10419,9852,9985,11526,10092,11743,12500,11646,10095,10206,10252,9628,10932,10618,10583,10201,11579,9039,10462,12097,11358,10241,10894,11045,10062,9704,10249,10581,10211,11607,9855,11058,12108,11455,10670,11033,11463,11211,10101,10319,11764,9058,10247,12195,11291,10160,10598,11325,10723,11570,9544,11242,11165,11018
4h,1,control,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B2,10374,967,3528,8025,10677,8061,10463,9826,8947,10983,10217,9528,10758,10257,9874,10349,10108,9720,10964,9942,10356,11114,10616,10056,10172,10463,9863,10043,9531,10553,9912,10218,10554,10140,9878,9990,10442,9955,9647,10023,10597,10350,11516,10851,10816,10694,10061,9498,9518,10357,9794,9890,9737,10889,8316,10884,11437,11384,11048,11053,10133,9643,9771,9302,9987,9951,9611,9889,10542,10339,11634,12062,11740,11711,11038,11020,10456,9429,9562,9945,10022,10049,9803,10691,9521,11239,12348,12072,11701,10828,10503,10115,9292,8712,9934,10046,9681,9820,11837,9675,11501,12120,11740,11161,10793,10842,10146,8808,8982,9877,10190,10153,10027,11005,9114,10860,11949,11654,11372,11085,11069,10096,9334,9355,9918,10146,9758,10078,11678,9991,11563,12019,11827,10460,10248,10269,9805,10509,10464,10426,10173,11699,9045,10241,11738,10904,10165,10548,10522,10050,9943,10096,10426,10253,11376,9618,10769,11705,11165,10320,10601,11143,10932,9979,10234,11278,9008,10181,11949,11051,9937,10677,11253,10429,11347,9503,11242,11241,10963
4h,1,control,2021/12/13,17:41:10,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B3,10567,1088,4411,9012,16855,10188,8563,12048,9419,9497,9474,11142,11058,9794,9594,10871,9941,9724,11323,10241,10534,11060,10983,9851,10661,10350,10225,10222,9754,10976,9783,10245,10768,10597,9940,10158,10416,10212,9775,10262,10156,11063,11758,10498,10687,10940,10414,9214,9435,10340,10280,10083,10148,11065,8499,10604,11313,11672,11152,11525,10346,9786,9731,9724,10054,10477,9892,10369,11429,10270,12080,11396,11876,11698,11082,11353,11091,9076,9139,9694,10418,10165,10110,10843,9877,11604,12297,12295,11953,10987,10081,9957,8647,8790,9900,10498,9960,10176,11675,9929,12216,12607,12334,11230,11069,11224,10631,8919,8838,10019,10350,10471,9968,11594,9348,10997,12610,12057,11164,10953,10801,10685,9420,9462,10208,10224,10010,10483,11175,10348,11788,11962,12136,10150,10278,10050,9830,10222,10756,10301,10348,11470,9001,10700,12112,11417,10447,10579,10609,10198,10145,10367,10398,10192,11692,9708,10989,11923,11637,10493,10937,11300,11036,10032,10352,11827,9346,10296,11836,11100,9901,10624,11105,10942,11567,9483,11386,11408,11105
4h,1,pos,2021/12/13,17:43:18,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,37092,3653,20312,25046,54496,35733,30664,42346,32958,32924,33134,38170,37954,36330,34426,37104,36920,33124,38433,35088,36630,37911,39124,36674,37365,36623,35482,36393,33726,39006,35011,36463,36939,36696,33513,34609,37414,36054,35091,35678,38822,36932,41785,37788,38774,38704,36833,33269,34161,36606,35656,34872,35314,36889,29076,37763,39816,40561,39820,40176,35616,33180,33729,34002,34870,34932,34629,36686,39594,35134,43031,42188,42309,40514,39675,36644,36650,31625,34650,36023,36626,36088,35674,38542,33356,40942,43603,43154,40536,37991,35118,34561,31949,31023,33751,35668,34698,36464,39361,34397,42587,44232,43055,40111,38837,37963,35428,29496,33372,36055,36621,36341,36137,40217,31497,39284,44479,43143,38891,39547,38781,36535,32902,33172,35633,36914,36567,36121,41512,34790,40903,42401,43125,36271,36378,35174,35408,36384,37882,37465,36052,39898,31426,37179,42391,40494,36741,36863,37272,35840,34535,36392,37955,37765,41368,34587,38075,41969,40931,36526,39123,39944,38389,35523,36239,41521,31836,36178,41558,39607,36257,37691,39844,38664,40172,33367,40095,39771,39206
4h,1,pos,2021/12/13,17:43:18,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,31711,2794,23379,36387,30978,23164,31414,30381,22380,33366,32681,30134,30243,31589,29866,31071,30836,29414,33673,29783,31039,34701,31436,29956,31798,31544,30141,30853,28465,32773,29859,31676,33034,31336,28135,29512,31544,30546,29606,30373,30161,32030,35976,32412,32057,32976,31249,28117,28446,30700,30745,30202,30607,33003,24974,32258,34141,34911,33701,34001,31679,29977,28467,28619,30517,31073,29230,30482,34174,31381,37366,35780,35365,34466,33526,31582,30633,27371,28480,30369,31892,31696,30854,32527,28589,33881,36500,37484,35220,33636,30946,29042,26082,26653,30587,31664,29307,29987,36290,29198,36613,38523,35983,33269,32592,32363,31084,26432,28679,30919,32366,32073,30750,33294,27245,33185,38230,37143,33842,34779,33368,31912,27874,28134,30281,31465,29631,30418,34264,30263,35792,36854,35683,31463,30673,30555,29837,31793,32364,32599,31400,34654,26962,31869,36959,34884,31396,32365,32099,30222,29311,30643,31834,30978,35800,29493,32957,35533,34659,31264,32609,33645,32992,31251,32030,35187,28075,30962,35952,33728,29916,31463,33619,32676,34999,28534,33254,34286,33530
4h,1,pos,2021/12/13,17:43:18,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,30965,2814,18142,31751,31364,22210,30952,30540,22435,33541,29068,31267,29769,32406,29502,31273,30540,27638,32756,27623,31211,31709,31953,27904,31038,30219,30274,29599,27602,31408,28427,31458,31038,31845,29049,29686,30333,30923,29623,29515,32005,31082,35117,30630,31366,31608,31111,27564,28768,29690,30234,29760,30163,31866,24608,31189,32947,34948,32669,34007,29567,28688,27358,28837,28975,30069,29326,30714,30994,31038,36287,34036,34615,34560,33427,30354,30548,26326,28290,28533,30175,30248,30184,32482,27630,33605,35569,36885,34614,33213,29539,28822,25571,26510,27939,30397,29608,30089,35369,28795,36244,37511,36532,33071,32951,32022,30414,25955,27114,29135,30799,30456,30117,32891,27720,32406,36033,36250,33667,33271,30959,30089,27320,28201,29345,30175,29975,31282,34150,29367,36832,35545,36106,29522,30973,28577,30041,30720,30938,30654,30569,31409,28392,32269,34230,32609,31057,30401,30783,30215,29667,30216,30686,30683,34006,28746,32529,34071,34256,29840,31854,33155,33275,29441,30708,35673,27416,30785,35479,33742,29562,31810,32228,32158,34024,27669,33411,33714,34006
4h,2,stim,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,14668,1420,8275,9809,22313,14569,11984,17023,13820,12971,12999,15604,15360,13793,13680,15166,13831,13218,15901,13912,14815,15287,15328,13629,14408,14683,14187,14145,13402,15175,13643,14432,14781,14365,13521,13773,14406,14135,13648,14051,14028,14815,16225,14788,15330,15142,14489,13426,13794,14521,14184,13978,14140,15256,11512,14735,15656,16218,15379,15967,14503,14084,13391,13073,14041,14397,13815,14197,15180,13928,16675,16174,16496,15998,15395,14871,14441,12859,13368,13744,14364,14493,13999,14972,13532,15493,16576,17223,16383,15028,13679,13479,12831,12390,13467,14283,13684,14567,16029,13597,16915,17657,16697,15365,15170,15237,14371,11921,12960,14412,14437,14186,13994,15631,12272,15869,17571,16473,15674,15783,15270,14545,13469,13508,14210,14217,13788,14359,15684,14037,16663,16488,16515,14033,14217,14071,13959,14790,14779,14899,14210,15918,12703,14983,16761,15909,14674,14927,15006,14233,13889,14243,14865,14721,16107,13734,15264,16854,16337,14233,15149,15724,15359,14225,14355,16341,12826,14672,16611,15381,14050,14912,15839,15184,16072,13181,15472,15745,15208
4h,2,stim,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,15294,1344,9736,16677,15940,10309,14912,13716,10624,15923,16264,14016,14938,15325,14703,15053,14602,14022,16143,14489,15272,16708,15095,14212,15462,15695,14638,14822,13838,15395,14127,15287,15608,15237,14247,14568,15499,14750,14433,14815,15622,15062,16846,15400,15805,15959,15508,13746,14010,15028,14685,14473,14681,16125,12099,15844,16582,16965,16196,16868,14695,14434,14334,13850,14504,14744,15011,14914,15586,14932,17382,16846,17131,16884,16312,15675,15782,13295,13909,14428,14847,14745,14602,16351,13710,16434,17551,17829,16767,15743,14522,14297,13104,12771,14446,14857,14304,14829,16969,13839,17563,18513,17721,16239,16075,16152,15359,12897,13531,14659,15045,14640,14946,16194,13486,15745,17930,17594,16318,16133,16059,15116,14152,14126,14765,14767,14657,15020,16859,14598,17069,17684,17359,14909,15467,14979,14444,14907,15245,15364,14884,16999,13097,15504,17746,16626,15069,15265,15595,14839,14481,15065,15201,15108,16872,14475,15807,17252,16983,15276,15598,16383,15712,14633,15122,17166,13476,15343,17606,16164,14621,15635,16325,15581,16655,13881,16320,16571,16137
4h,2,stim,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,12189,1155,7392,10647,12323,8229,12345,11733,8380,13358,12089,11800,11581,12641,11586,12024,11559,11356,13274,11143,12285,12505,12639,11228,12230,11929,12384,11663,10842,12760,11457,12130,12099,12497,11289,11536,11951,12010,11539,11828,12653,11715,13670,11617,12869,12188,12286,10766,11326,11700,11940,11739,11693,12400,9611,12259,12695,13874,13391,13540,11589,11216,10728,11653,11228,11734,11653,12297,12805,11484,14440,13449,13795,13204,13607,12053,12344,10283,11023,11029,12029,11805,11818,12625,11117,13974,14017,14552,13502,13001,11105,11218,9876,10479,11342,12087,11527,12170,13178,11443,14220,14412,14202,12925,13123,12446,11833,10115,10811,11284,11980,11931,11908,13392,10946,13140,14736,14207,12778,13022,11789,12013,10555,11479,11551,12150,11530,12216,13528,11358,14126,13630,14495,11578,12249,11294,11817,11667,12420,11862,12174,13025,10634,12308,13754,13471,11881,12189,12033,11971,11924,12083,12048,12388,13720,11229,13151,13602,13561,11627,12745,12833,12972,11805,12278,14174,10815,12241,13876,13506,11649,12745,12906,13004,13055,10813,13461,13175,13164
4h,2,control,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B1,15858,1445,5735,13345,17104,12541,16559,15702,14881,16407,15546,14805,16555,15739,14990,15865,14808,15059,16691,14932,15900,16655,16082,14895,15469,15896,15467,15398,14561,16350,14770,15448,15981,15968,14309,14934,15624,15115,15162,15031,16098,15834,17703,16103,16805,16458,15930,14603,14754,15814,15801,15287,15266,15830,12694,16079,16647,17332,16978,17369,15616,14770,14024,14298,15287,15881,14920,15238,16788,15794,18195,17576,17942,17282,16857,15811,15438,13633,14563,15167,15571,15526,15227,16511,14517,17202,18169,18351,17365,17221,15835,14968,13778,13076,14806,15790,14751,15140,16994,14772,17914,18548,18075,16958,16554,16309,15544,13305,14047,15394,15791,15682,15346,17124,13924,16569,18948,18300,16858,16938,16830,15913,14404,14322,14939,15643,15142,15479,17636,15381,17968,18461,17852,15182,15387,15071,15298,15805,16343,16058,15395,17103,13878,16015,18193,17221,15847,16099,16505,15393,15047,15446,15719,15555,17735,14789,16549,17656,17305,15329,16432,16960,16499,15692,15597,17966,13837,15693,18191,17084,15437,16181,16708,16200,17341,14021,17087,16786,16733
4h,2,control,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B2,16369,1540,5790,11996,17341,13152,16702,15950,15108,16775,15647,15273,17218,16318,15469,16135,16307,15484,17343,15711,16434,17069,16689,15532,16634,16352,15736,15742,14776,16370,15071,16098,16817,16445,15479,15791,16417,15858,15299,15639,16830,16230,18365,16688,16770,17000,16699,15013,15427,16140,15667,15669,15693,17044,12901,16672,17916,17997,17360,17716,16167,15408,15053,15082,15873,16024,15684,15757,16567,16332,18540,18255,18733,18137,17726,16571,16059,14312,14820,15267,15974,15968,15648,17296,15291,17555,18909,19085,18335,17232,16264,15599,14110,13341,15157,15849,15421,15871,18098,15074,18896,19775,18676,17478,17277,17354,16057,13544,14490,15499,16199,16217,16019,17452,14424,16936,19280,18923,17466,17335,17057,16289,14862,14904,15877,15761,15308,15876,17953,15377,18594,19030,18428,15678,16050,15534,15593,16107,16400,16454,15790,18387,14086,16830,19195,17515,16579,16414,16858,15868,15708,16127,16729,16020,17691,15350,17213,18217,17615,15977,17145,17493,17255,15744,16130,18511,14073,16330,18878,17563,15835,16620,17316,16495,18090,14634,17687,17604,17148
4h,2,control,2021/12/17,17:17:44,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B3,15113,1597,6236,12861,25112,14674,12096,17729,13888,13846,13352,15887,15805,14091,13757,15262,14435,13811,15945,14271,15185,15646,15676,14370,15009,15136,14352,14704,13727,15448,14430,14657,15758,15072,13928,14585,15547,15021,14346,14374,14497,15157,16805,14884,15400,15622,15028,13735,13694,14707,14260,14334,14327,15705,12002,15201,16363,16624,16085,16452,14417,13856,13182,14042,15084,14814,14028,14685,16014,14645,17623,16601,16646,16304,16111,15647,15178,12893,13186,14211,14707,15051,14751,15186,13954,15998,17363,17370,16526,16067,14710,14310,11884,12178,14551,15051,14153,14770,16884,13880,17541,18134,17384,16104,15946,16019,14900,12645,12990,14312,15327,14915,14485,16493,13103,15918,18338,17536,15793,16015,15756,14963,13343,13367,14872,15151,14538,14983,15841,14507,17357,17162,16918,14549,14836,14433,13840,14965,15218,14832,14591,16719,12930,15239,17342,16075,15134,15269,15055,14580,14511,14918,15058,15016,16789,14135,15436,17282,16332,14782,15228,15936,15408,14487,14869,16637,13228,14829,17159,15772,14325,14968,16253,15438,16577,13588,16179,16166,15924
4h,2,pos,2021/12/17,17:13:52,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B1,35444,3353,11839,27589,35941,28713,36034,35079,32433,36488,33266,34123,36931,34729,33216,35754,32621,33476,37091,32674,35984,36665,36415,33635,35048,35421,34362,34974,32238,37182,33287,34933,35722,36406,32866,33961,35037,34993,33362,33888,36569,34492,39458,35489,37297,36705,35793,32257,33513,35219,33769,33533,34035,35730,27787,35773,37861,39588,37689,38587,34168,33250,32105,32012,33589,34583,33697,34658,37402,34375,41434,39420,40369,38777,38305,36047,34807,30069,32859,33078,34840,34856,34395,37832,32546,38592,40875,40643,38937,37090,33923,34053,30962,29160,32218,34953,33251,33799,37495,33466,40865,42031,40824,37848,37472,36384,33888,29527,32676,34038,35083,34533,34555,39159,31604,36877,42377,41318,37910,38484,36573,35341,32247,32308,34151,34568,33770,34188,39244,33619,40060,40635,40607,33997,34819,32967,34193,35223,35547,35098,34719,39006,31489,36345,40877,38875,34833,35997,36242,34647,33666,35110,35390,35028,38734,32876,37119,40106,39343,34976,36799,37751,37543,34759,34708,40503,30740,35245,41276,38499,34238,36158,37965,36311,39013,31675,38431,38084,37511
4h,2,pos,2021/12/17,17:13:52,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B2,39072,3667,13011,29640,40000,34606,40011,38604,36728,39994,36908,37127,41202,38128,36900,39246,39200,36591,41466,35865,39124,40167,40290,36398,39138,38963,38398,37239,36448,39976,35881,38217,40294,39025,35342,36576,39177,38458,37336,37958,40840,38814,43371,38862,39872,40412,39015,35559,36410,38846,37813,37195,37467,40781,31053,39937,42473,43625,41129,42608,37608,36383,35094,36143,37383,38742,37914,38979,40032,39320,45458,42672,44274,42825,42346,40212,38876,33576,35584,36932,38185,38241,37754,40841,35555,42974,44312,44744,43348,41495,38476,36983,33155,32463,36357,38502,36575,38016,44000,35731,44311,46468,44347,41954,41222,40311,38584,32025,34186,36696,38917,37935,37709,42378,34423,40231,45935,46099,42906,41935,40533,38499,34633,35359,37689,38321,37452,38916,43129,36992,44539,44292,44465,37366,38669,36297,36971,38634,39681,38519,38202,43298,34139,40496,45253,42892,38141,39279,39834,38266,36938,38399,38806,39013,42790,36523,40505,43503,43092,37813,40152,41464,41006,37292,38758,44162,35232,38284,45030,41708,36648,39489,41621,41233,42994,34940,41971,41740,41500
4h,2,pos,2021/12/17,17:13:52,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,B3,32737,3417,13765,27297,53866,32399,26452,37474,30126,29633,28738,35751,35043,31149,29402,33145,31380,29590,35793,30800,32647,33967,33797,30432,32241,32356,31642,31780,29885,33821,31001,32280,32903,33349,30807,31220,33013,31858,30778,31346,31527,33631,36031,32314,33092,34239,32821,29041,29727,31716,31471,31109,31272,34425,25721,33316,35193,36261,33906,35073,32031,29997,28878,30621,31545,32647,31337,32021,35723,32317,37845,35511,36510,36029,35574,33672,33470,27611,28838,30450,31402,31788,30789,33619,30380,35740,37504,38471,36540,33906,31779,31268,27698,26514,30610,32279,31252,31400,36819,30448,38070,38778,37056,34678,34623,34210,31904,26755,28531,31017,31739,32100,32134,35364,28416,35186,39135,37118,34601,34588,33728,32757,28919,29458,31846,32536,31465,31848,34464,31593,37172,36893,36975,31362,32047,30776,30302,31799,32653,32321,32062,35836,27830,33539,37513,35164,32222,32477,32843,31833,31233,32302,32318,32061,36280,30883,33634,36795,36000,31455,32964,34769,34208,31140,32430,36669,28710,31798,36702,34498,31462,32729,34707,33179,35515,29440,35379,34828,34554
8h,1,stim,2021/12/13,19:08:09,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A1,17681,1714,9839,12606,27244,17158,14178,19360,16941,15204,16041,18905,18496,16512,16087,18025,16795,15677,18942,16886,17687,18476,18268,16572,17704,17547,17123,16995,16413,18274,16737,17103,17894,17339,15904,16454,17299,17074,16518,16944,16972,18017,19266,17859,18311,18204,17637,16204,16483,17954,17238,16863,16700,18172,14249,18150,19175,19262,18488,19311,17558,16820,16457,15902,16122,16814,16774,17304,18747,16874,20293,19581,19541,18971,18823,18121,18251,15244,15988,16764,17791,17240,16838,18187,16534,18789,19975,20570,19617,18452,16420,15636,15256,15137,16044,16615,16677,17089,19400,15973,20018,21129,20374,18474,18790,18862,18202,14886,15390,17104,17806,17414,16842,19244,15603,18404,21107,20304,18487,18853,18458,17412,16277,16047,16801,17030,16583,17254,18932,16774,19939,20034,19805,16843,17271,17194,17077,17686,17804,17779,17183,19591,15118,17842,20185,19134,17349,17784,18176,16907,16721,17303,17800,17160,19692,16477,18552,20135,19885,17685,18381,19361,18466,17049,17351,19707,15421,17153,19870,18607,16922,17558,18893,18241,19347,16191,19206,19244,18703
8h,1,stim,2021/12/13,19:08:09,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A2,19410,1671,14783,25025,16702,13757,18828,18299,13627,20198,19778,18012,18884,19310,17949,18929,18419,17964,19959,18620,18791,21190,19025,18285,19681,19622,17923,19032,17238,19003,18172,19165,19958,18774,18365,18450,19472,18330,18173,18473,19682,18750,21407,19765,20117,20424,19188,17560,17907,19375,18715,18529,18549,20292,15674,19893,20815,21328,20701,20793,19380,18390,18340,17673,18379,18811,18700,18555,19488,18974,21543,21936,21877,21833,20559,20169,19501,17138,17238,18349,18784,19033,18257,20757,17884,20602,22254,22618,21442,20085,18659,17929,17625,16359,18099,18551,18338,18556,21640,17933,22037,23433,21766,21038,20439,21271,19318,16594,17164,18686,19402,19307,18470,20154,17070,19762,22524,22367,21647,21090,20467,18816,17973,17787,18781,18699,18422,18691,21816,18222,21517,22302,21556,19269,18981,19046,18003,19429,19319,19485,18742,21473,17119,19402,22367,20622,19059,19721,19958,18541,18768,18988,18896,19500,21699,18433,20055,21722,21135,19145,20185,21218,20381,18654,19215,21303,17079,19350,22390,20492,18709,19800,20816,19519,21322,17567,20768,21222,20162
8h,1,stim,2021/12/13,19:08:09,Fluorescence Top Reading,15 x 15,6000 µm,485 nm,535 nm,9 nm,20 nm,100,2,20 µs,0 µs,0 ms,A3,17856,1610,11481,22669,16318,11813,16475,16262,12403,17786,18136,16412,17112,17327,16637,17769,16309,16692,18825,17306,17787,19325,17262,16520,17799,18063,16747,17521,16508,18101,16661,17690,18655,17605,16909,16929,17506,17229,17003,17376,17580,17214,19941,17894,18806,18477,17618,15654,15987,17397,17356,17078,17069,17383,14909,18225,19981,19668,19499,18456,17509,16972,16646,15954,17311,17643,17513,17206,19556,16902,20467,19877,19766,19458,19340,18821,18177,15544,15698,17502,17234,17477,16990,18975,16411,19455,20844,20863,19954,18317,16888,16747,15382,15002,16769,17764,17520,17491,19169,16846,20399,21089,20924,19698,18881,18922,17047,15298,16124,17810,17611,17493,17267,19175,15696,19084,21214,20738,18799,18813,17981,17522,16149,15965,16849,17603,17190,17724,20004,17127,19759,20793,20214,17709,17886,17323,16735,17659,18288,18011,17144,19524,15565,18097,20305,19128,17562,17700,18284,17335,16997,17585,17900,17635,19916,17112,18488,20547,19522,17296,17996,19371,18467,17319,17526,20116,15810,17770,20571,18980,17309,18139,18790,18073,19508,16364,19052,19183,18868
